Species;Growth form;Stage;LMA;LDMC;LA;H;SM;Nmass
AEGGEN;herbaceous;Stage 1;44.29;265.2;37;0.09;8.382;24.18
BRADIS;herbaceous;Stage 1;35.43;348.1;75.2;0.09;2.26;21.86
BROLAN;herbaceous;Stage 1;42.08;277.5;137.4;0.19;2.196;21.24
CONARV;herbaceous;Stage 1;41.28;200.8;123.4;0.04;12.998;26.46
CRESAN;herbaceous;Stage 1;46.14;136.8;158;0.03;0.0526;16.89
KICSPU;herbaceous;Stage 1;54.41;211.9;208.1;0.05;0.302;12.94
MEDMIN;herbaceous;Stage 1;47.11;273.7;33.4;0.05;0.924;36.24
SCAATR;herbaceous;Stage 1;87.67;212.8;376;0.35;0.838;25.5
STAANN;herbaceous;Stage 1;47.85;218.6;94;0.05;0.33;15.67
TRISCA;herbaceous;Stage 1;41.03;269.6;56.8;0.04;1.092;24.79
XERINA;herbaceous;Stage 1;31.55;164.7;177.8;0.05;7.04;33.33
CALNEP;woody;Stage 2;57.65;277.8;101.1;0.04;0.21;16.57
CREVES;herbaceous;Stage 2;66.15;158.1;444;0.05;0.19;22.2
DACGLO;herbaceous;Stage 2;54.52;318.3;191.2;0.13;0.554;24.97
DAUCAR;herbaceous;Stage 2;55.51;252.4;32.6;0.1;0.984;29.55
LAVALT;woody;Stage 2;130.56;270.3;61.3;0.23;0.946;12.24
PHLPRA;herbaceous;Stage 2;45;310.7;233.8;0.16;0.424;24.85
PLALAN;herbaceous;Stage 2;94.4;257.4;382.5;0.07;0.872;11
SANMIN;herbaceous;Stage 2;66.43;356.3;412;0.2;5.784;15.51
THYVUL;woody;Stage 2;105.14;366.1;5.3;0.13;0.0724;12.68
TRIANG;herbaceous;Stage 2;64.26;275.7;166;0.11;1.22;35.95
URODAL;herbaceous;Stage 2;46.33;131.5;1120;0.1;1.11;18.93
AVEBRO;herbaceous;Stage 3;61.06;277;92.2;0.12;0.594;18.47
BRAPHO;herbaceous;Stage 3;77.46;380.7;836;0.38;2.466;16.87
BROERE;herbaceous;Stage 3;78.15;343.5;279.5;0.24;3.41;19.03
CATCOE;herbaceous;Stage 3;65.92;151.5;485;0.05;3.0275;25.68
DORHIR;woody;Stage 3;67.26;304.3;127.3;0.1;4.536;26.87
DORPEN;woody;Stage 3;87.87;351.9;23.2;0.15;3.23;24.48
ECHRIT;herbaceous;Stage 3;91.1;204.9;791;0.05;7.882;23.96
KOEVAL;herbaceous;Stage 3;51.93;332;83.6;0.05;0.248;20.82
LOTCOR;herbaceous;Stage 3;54.87;242;24.9;0.1;1.324;30.48
POTCRA;herbaceous;Stage 3;75.13;366.2;163.7;0.05;0.61;17.59
PSOBIT;herbaceous;Stage 3;66.57;266.4;548;0.15;16.668;39.1
CARHAL;herbaceous;Stage 4;58.32;404.3;235;0.05;1.22;16.88
CRAMON;woody;Stage 4;93.98;427.3;123.1;1.34;4.065;15.62
HELNUM;woody;Stage 4;91.6;272.8;38.9;0.11;1.236;17.06
JUNOXY;woody;Stage 4;155.02;424.6;14.7;3.45;5.46;11.14
LONETR;woody;Stage 4;59.04;269.8;1159;0.6;8.654;22.27
PRUMAH;woody;Stage 4;83.22;354.4;382.7;2.71;22.604;19.4
PRUSPI;woody;Stage 4;93.75;381.6;78.9;0.26;22.64;19.33
ROSMIC;woody;Stage 4;86.01;392.8;770;1.46;13.554;22.71
RUBFRU;woody;Stage 4;69.55;396.6;1028;0.44;2.174;20.6
RUBPER;woody;Stage 4;72.56;227.8;64.9;0.09;17.466;17.17
TEUCHA;woody;Stage 4;88.31;368.1;48.4;0.06;0.714;16
ACEMON;woody;Stage 5;74.58;429.4;876;4.31;13.44;15.76
BUPRIG;herbaceous;Stage 5;88.57;343.9;1299;0.2;4.298;17.23
BUXSEM;woody;Stage 5;148.82;430.9;152.3;2.85;12.932;17.54
PHILAT;woody;Stage 5;109.84;389.2;397;3.99;28.106;18.06
PISTER;woody;Stage 5;107.99;430.1;4198;4.16;13.658;21.74
QUEILE;woody;Stage 5;176.06;511.3;452.8;6.89;1345.817;14.79
QUEPUB;woody;Stage 5;112.27;469.5;3991;7.38;1685.5563;20.5
RUSACU;herbaceous;Stage 5;84.11;308.9;115.3;0.12;208.808;18.59
STAOFF;herbaceous;Stage 5;74.41;276.9;429;0.05;1.28;21.42
VIBTIN;woody;Stage 5;72.97;328.5;1219;2.05;38.246;14.52
VIOALB;herbaceous;Stage 5;63.06;283.7;568;0.1;2.098;18.11
